Comment	sentiment
LGBT : wah enak ya, hidup dinegara yang nerima kita pa adanya. <br>Gue : loe yang enak, satu kota kena azab. Canda doang, sans aja lah.😅😅😅	0
jadi gua punya temen yang kuliah di psikologi. she said it&#39;s a mental health issue so it can be cured. tapi sekarang buku besar atau utama atau apalah itu sudah menghapus lgbt dari penyakit ini who did that? you know lah negara itu. so this is something that  we should  take care.	0
Hore indonesia lagi	2
No comment tapi pengen komen:(	2
Rata rata pendukung, yo susah arep ngomong, kan juga sama2 membela apa yg diyakini juga kan ? harusnya para komuniti LGBTQ juga accept apa yg kita ngomong, well orang semua jalan hidup sendiri2, anda menyakini apa yg menurut anda benar then krn kita juga menyakini apa yg menurut kita benar, berfikir krn kita tunduk pada aturan agama juga salah, anda menyalahkan apa yg kita pegang itu juga salah, krn itu adalah bentuk keimanan, klu gk tau arti iman juga sulit jelaskan, intinya klu anda memang seperti itu, sorry saya gk bisa accept, udah gitu aja, gak usah hak asasi lah, krn dari lahirlah, kan udh bilang dari point pertama jadi gak usah kebayakan teori, pusing dengernya	0
Kenapa gak wawancara di brunei darussalam,pemberlakuan hukuman secara nasional terhadap LGBT dan pernyataan sultan brunei terhadap respon dunia dari kebijakannya bukannya lebih tepat dengan tema LGBT+Q..	0
Yaudah gini aja deh, kalo emang kalian yakin lgbt itu baik ya yaudah lu harus pertahanin yakin lu itu sampe akhir. Tapi ya jangan nyesel aja nanti kalo tiba2 lu kena dampak negatif nya dari lgbt itu sendiri.	0
gw pengen mampus aja sama cewe berdua yg berjilbab yg tinggi	2
Kbnyakan ngurusin hidup pribadi orang. Mahaha	2
Gw menentang lgbt tapi kalo dari sisi orang yg udah lgbt sih sebenernya yah terserah dia sih gw ga peduli asal ga nglakuin kekerasan sama gw .  Dan jgn pake pakean cewe sih ga masalah . But musti di bina juga sedikit sedikit .	0
Sungguh manusia telah melampaui batas, karena kamu adalah kaum yang tidak mengetahui akibat perbuatan mu,bukan kah kamu di berikan pikiran untuk mu berpikir, bukan kah semuanya ada pasangan nya, maka kembalilah, karena sesungguhnya dia itu maha pengampun. 🙏🙏🙏	0
ketika menjadi muslim minoritas di suatu negara. kemudian mereka ingin di hargai di beri ruang. apalagi kalo sampai di tindas. pasti teriak teriak human right.<br><br>ketika menjadi agama lainpun yang minoritas, inginnya di beri ruang di hargain. sama aja kalo di tindas, akan teriak mana human right.<br><br>sama aja ketika LGBT itu minoritas, inginnya di hargain juga. kalau di tindas akan mempertanyakan mana human right.<br><br>bagaimana ketika kaum straight itu ada di lingkungan LGBT dan di tindas? maka sama aja akan teriak teriak HUMAN RIGHT.<br><br>kayaknya bukan masalah LGBT nya, tapi kepada perbedaan, manusia umumnya takut sama yang namanya perbedaan dan akhirnya bisa jadi menindas. <br><br>kalau misalnya hidup beragama dan mengerti dan menghargai setiap perbedaan dan fator turunannya tentang manusia, kayaknya gak akan ribet dengan pilihan hidup orang lain.<br><br>CMIIW	1
Menurut sya kasus pemecatan polisi gae terasa kurang adil. Seharusnya pelakunya bisa memperoleh rehabilitasi dahulu tnpa harus dipecat. Tapi sy tdk setuju negara ini jadi sarang LGBT	0
Kecewa tapi tidak kaget	2
Wawancara di bogor aja bang :v	2
Gw sebagai fujoshi be like :<br><br>Saling menghargai aja si, ga usah dibikin ribet, toh masing&quot; orang punya takdirnya sndri, jalan hidupnya juga masing&quot;.😊	2
Req Kisah dijodohin tapi akhirnya bahagia:&quot;&gt; atau akhirnya ga bahagia gpp:&quot;&gt;<br><br>Kisah dijodohin lah pokona😂<br><br>Edit : Soalnya kmren aku direncanain mau dijodohin aja:v jdi penasaran ama kisah orang-orang:&quot;&gt;	2
Tau kenapa seneng banget sama kak  rachel, apa lagi kalau cutime betah bet nontonnya 😄	2
Saran saya buat teman-teman LGBT+;<br>-hubungan kalian jangan di publish ya. Siapa tau kelak kalian kembali ke titik &quot;straight&quot; demi menghindari masalah yang akan datang dimasa depan. Siapa tau kelak kalian memiliki keturunan dan si anak atau temannya si anak tidak pernah tau akan hal trsbt yg bisa menyebabkan pembullyan.<br>-jangan menutupi diri kalian dengan menikahi lawan jenis karena paksaan, kasian pasangan kalian dan serta diri kalian sendiri menyimpan rahasia trsbt.<br>Dan buat teman teman yg lain, LGBT+ jangan dibully tapi dirangkul diberikan nasehat secukupnya saja, kita ga bisa maksa seseorang harus berubah. Karena dalam &quot;kebenaran&quot; ini ada 3 versi; kebenaran menurut anda, menurut orang yg anda nasehati, dan kebenaran hakiki. Hal tersebut tidak dapat dipaksakan.<br>Serta ada 2 hal yg saat ini saya yakini yg dapat membuat manusia itu berubah bisa menjadi lebih baik atau apapun itu; -orang tersebut hatinya(alam bawah sadar) terketuk untuk berubah untuk dan dari diri dia sendiri.<br>-Di ujung kematiannya dia sadar itu salah dan dia &quot;tobat&quot;.<br>Sekian sharing panjang ini semoga bermanfaat makasih.<br><a href="http://www.youtube.com/results?search_query=%23bangjago">#bangjago</a>	0
Inget cerita Nabi Luth.. mereka, para kaum Sodom, gak langsung di adzab, tpi di dakwahi dlu. Cause why? Krna Allah masih ingin mereka kembali ke jalan yg lurus. Tpi kenyataannya pahit. Mereka menolak dakwah Nabi Luth, dan akhirnya Allah mengutus malaikat Jibril dan Mikail untuk mengadzab mereka. <br>The point is, ketika lu punya tmen LGBT, nasehati mereka, pelan pelan, tpi jngan menjudge, dan jngan berharap bnyk untuk mereka berubah krna nasehat lu, doakan mereka, dan doakan diri lu sndiri agar tdak terjerumus seperti mereka. Let God do their job.	0
70% keluarga di Indonesia bisa dengan mudah mengusir anggota keluarganya yang merupakan bagian dari LGBT dari rumah	2
req cuttime &quot;pacaran backstreet dibelakang ortu&quot; dong kak hehe banyak keknya pada pacaran diem diem perkara gak dibolehin sama ortu, mikisii kak rachel😍😍	2
Gw bi , blm come out ke ortu , tapi emg niat pengen stay single aja , pengen fokus sm karir dan jdi humanitarian ♡	1
Tolong yang punya teman LGBT jangan dijahui bro.Kasih ia bimbingan,motivasi,semangat sebenernya itu yang mereka butuhin.	1
Tapi kak bagi org yg beragama muslim, LGBT itu slah.. aku kurang faham untuk agama lain.. aku jg punya temwn LGBT dan di muslim.. aku bingung harus gmn... aku dukung dia, toh dia salah.. aku gk dukung dia, aku kasihan sm dia.. pokok nya serba salah deh. Trus aku coba untuk buat di kembali kejalan yg benar dng cara aku nasehatin dia.. alhamdulillah skarang dia udh gak LGBT  lagi.. tau gak kak apa yg aku bilang kedia? Akubilang bahwa di agama kita sangat di larang menyukai sesama jenis.. karna ada sejarah islaminya juga.. dan aku bilang kedia 1 kali aja kita berhubungan sex dgn sesama jenis, dosanya sama dgn kita melakukan 2 kali hubungan sex dengan ibukandung di dalam ka&#39;bah (untuk laki2) dan ayah kandung (untuk perempuan) dan dia langsung nangis terus meluk aku. Aku bersyukur dngn aku nasehatin dia, dia bisa berubah.. alhamdulliah sekarang dia sudah berkluarga😄	0
Dari awal biasa aja nontonnya, karena gue gak benci atau pro sama lgbt. Tp pas rachel baca bagian kakaknya vc an sama cewek selama ini dan rach bilang, &quot;itu urusan kakak lo, bukan urusan lo.&quot; Mungkin beda keluarga, beda didikan. Tp dengernya rada tabu aja, namanya keluarga... masa iya sih mikirnya begitu ke keluarga sendiri. Open minded sih open minded tp gak gt juga. Just my opinion	2
Abang gw sndr Gay.. tp kami sekeluarga no prob, dia tetep keluarga yg kami sayang... Teman gw sndr 50% LGBT, dan kami hidup berdampingan dgn bahagiaaaa....	1
Bener banget kak.. lgbt bukan gangguan jiwa.. cara penyembuhannya juga harus didasari dari keinginan diri sendiri. Setau aku sih karena aku anak mahasiswa psikologi yg baru smt 3 dan denger cerita dari dosen aku seharusnya orang2 kaya gitu didukung untuk berubah bukan dijauhi kalaupun tidak mau berubah jangan dipaksa dan jangan dijauhi	2
itu yg ngejauhin yg lesbi, muke lu cakep kali ye. dikira yg lesbi ngembat semua cewe. ya nggak lah 😭🤣	2
Tolong jelasin gimana ceritanya bisa sadar dia lgbt dari umur 2 thn pls😭😭 gua pas 2 thn aja kyknya belom lancar2 amat ngomong, terus gua juga lupa diumur 2 thn ngapain ajaa🤔🤔🤔	2
BUAT PART 2 NYA KAK RACHEL, YANG SETUJU LIKE BANTU UP😃	2
Aku, membaca komen:<br><br>HHHHHhhhHhhhh<br><br>Gini ya gaes, kita benerin aja hidup kita sendiri. Kita punya keyakinan masing-masing, ya silakan berpegangan terhadap keyakinan masing-masing tsb, ngga usah maksain orang buat percaya sama keyakinan kamu. Yg penting kita menghargai temen temen kita komunitas LGBT karena mereka punya hak untuk hidup, kerja, sama seperti kita.	2
I&#39;m straight tp aku menghormati temen temen lain yg LGBT I mean thats their life dan itu haknya. kita ga ada hak judge maupun jatuhin mereka.	2
Mau numpang cerita kak, <br>Aku gay udh sadar sejak umur 5 / 6 tahun, dan diumur segitu juga pernah dilecehkan sama orang terdekat, tp aku yakin bukan itu yang merubah orientasi ku. skrg udah umur 24 tahun dari kakak adik cuman aku yang belum nikah atau punya pacar dan semua orang mempertanyakan itu. jatuh cinta sama orang straight hasilnya bener bener nyiksa. nyoba online dating dsb nya tapi ujung ujungnya cuman nemu one stand night. punya sahabat yang sama-sama gay tp doi denial banget smpe ngerasa mau mati karena orientasi dia itu tapi aku ttep berusaha yakinkan dia kalau kita ga salah, beda itu ga salah. btw kak aku kurang setuju sama statement salah satu yang curhat mengenai &quot;pondok sarang gay&quot; soalnya aku mondok juga, ya gay emg ada bahkan first love aku temen pondok tp ngga semua! itu soal individual bukan pondoknya!. makanya saya pesankan sama seluruh orang tua &quot;JANGAN MASUKIN ANAK KALIAN KE PONDOK KARENA DIA NAKAL!, PONDOK BUKAN TEMPAT REHABILITAS!&quot;. aku dimasukin pondok karena emg aku layak buat belajar disana bukan karena aku gay (yang tau aku gay cuman alm. ayah) mohon maaf jadi curcol ya kak.	1
GW MSH SUKA SAMA LAWAN JENIS,TAPI GW BISA MENGHARGAI,SEMANGAT YAA!JADILAH DIRI SENDIRI&quot;).PLEASE YAA KITA HARUS BISA MENGHARGAI ORANG&quot;YNG BERBEDA😊	1
Klo menurut gue nih ya, berpendapat dr sisi tmen2 yg mengambil keputusan utk menjauhi/memberikan batasan utk berteman dgn tmen2 yg LGBT. <br><br>Ada bbrp org yg menjauhi atau membatasi diri utk berteman dgn tmen2 yg LGBT bukan krn mrk merasa diri sok suci, paling benar, pikiran nya dangkal, tdk terima perbedaan, dll. Bukan. Malah mereka menurut gue mengambil keputusan dan tindakan tsb utk melindungi masa depan mrk dan sesuai dgn keyakinan. Kemudian mrk menyadari keterbatasan dan kelemahan trhdp diri sendiri, terutama bg org2 yg mudah dipengaruhi oleh lingkungan. Jd lebih baik menghindari pergaulan yg bs saja membuat kita scr pribadi tdk berada di jalan yg kita yakini benar. <br><br>Jd bg tmen2 jg yg LGBT, jika melihat tmen kalian ada yg menjauhi ya gpp dan terima keputusan mrk, krn kalian sdh tau dr awal bhw keputusan kalian psti pnya sisi baik dan buruknya. <br><br>No debate, just opinion as a human.	0
Aku biseksual dari kecil tpi lgi sadar dari kls 1 SMP aku hidup di jawa tepat di Pati aku kira di lingkungan ku cuma aq aja yng seperti ini tpi ternyata setelah knl sma seseorang aku lgi sadar ternyata bukan cuma aku yng seperti ini.<br><br><br>Kita BF an selama kurang lebih 1minggu tpi setelah aku sadar kalau ini salah aq putusin untuk putus.<br><br>Dia pernah cerita saat di mondok di situ banyak bgt gay dan di situ dia menjadi korban sodom.<br><br>Aku menjadi biseksual sampai sekarang dan bokap nyokap aku nggk ada yng tau.<br><br><br>Sekarang aku punya keinginan untuk menjadi straight moga moga aja bisa🙂<br><br>Makaseh yng mau baca cerita aku🤗🤗	0
Gw punya beberapa tmn yg lesbi. Gw gak masalah sih mau dia lgbt apa enggak. Cmn masalahnya mereka gk bisa nempatin diri mana teman mana yg bukan. Emang sih lgbt tdk menular, tp masalhnya yg tmn&quot; ku ini mereka gak bisa mengendalikan diri sendiri, kadang pegang&quot; ada jg yg langsung nembak. Gw langsung eewww,,,jd akhirnya gw gak mau temenan lagi. Bukan karna aku anti cmn merekanya gk tau diri.	0
Share pengalaman ketemu LGBT ah~<br>Semoga tersangka-nya gak baca 🤭<br><br>Jadi gini ka rachel, aku liburan bareng gitu.. rame lah pokoknya.. Aku sampe hotel dan ada 2 org yg udah sampe hotel duluan (salah satu tampilan tomboy) &amp; mereka se-room sama aku n tmn ku juga yg ternyata mereka kenalan tmnku.. aku suspect sama yg tampilan tomboy ka.. di hari ke 3, eh ketauan ternyata tmn-nya yg satu lagi (tampilan masih cewek) yang confess mereka ber-2 lesbian dan beberapa menit kemudian aku di &quot;serang&quot; sama dia (beneran agresif pengen nangkep aku, tp aku lari muter2 minta tolong ke tmn ku  bwt hentiin dia), akhirnya tmnku ngancem dia bwt berenti / ngasih tau ke keluarganya (btw tmnku juga baru tau mereka lesbi).. dan dari hari ke 3 sampe aku pulang, dia ttp agresif ka sama aku sampe aku dipindah room hotel sm tmn ku ini biar aku aman ga se-kamar sm ni lesbian 😰 btw, tu cewek agresif sm aku trnyata abs nonton bokep lesbian pas aku lg di kamar mandi 😭 dan dia sempet nawarin aku dicoba dulu jadi lesbian , pasti ketagihan.. gituuu kak. Aku auto nolak dong.. horor deh pengalamanku pertama kali ketemu mereka langsung...<br><br>Menurutku, LGBT itu bukan nular tp mungkin bs mengubah pemikiran seseorang.. anggapnya, kalo 1 org baik tapi sering bergaul sm org2 gak baik (narkoboy dll), ada lah tmn2nya itu always ngebujuk lalalala gitu yg pada akhirnya akan muncul &quot;ya deh coba dulu&quot; ... Eh tau enak trs ketagihan 😨	0
Temen gua aj ad yg GAY :v tpi biasa&quot; aj, berteman layaknya temen biasa	2
Setuju, kalau ga bisa ngomong atau berbuat baik mending DIEM aja. Jangan suka maki apalagi bully, hidup sendiri aja dibenerin guyss.	2
Kalo di keluarga aku ada yg LGBT auto di ruqyah ka. Ortu pasti bakalan bilang &quot;INI PASTI ULAH JIN LGBT&quot; 😂 sebenernya pen ngakak tapi takut dosa 🤣	0
In my opinion: Selama ga ngerugiin orang lain, go ahead.	2
Sy yakin para LGBT diluar sana pasti selalu ada sebab, latar belakang atau pemicunya. Sy menghargai pelakunya/individu tersebut,  tdk menyudutkan atau bahkan menjauhinya akan tetapi yang sy jauhi adalah &quot;perilakunya&quot; (perilaku menyimpang, kelainan seksual). Disitulah pentingnya sex education dan agama yang saling beriringan (agama apapun) serta peran orang tua, agar menuntun para muda mudi mengendalikan dan menyadarkan arti dari sesuatu hal yg di sebut &quot;nafsu&quot; mengontrol perjalanan jiwa remaja yang membara. Karena satu hal yang sy yakini yaitu Allah/Tuhan (diagama manapun) tidak pernah meniupkan ruh hambanya kedalam tubuh yang salah. Yang Allah ciptakan hanya Adam dan Hawa selain dari pada itu hati&quot; oleh bisikan setan,  itu yang saya yakini perbedaan akan selalu ada guys :)) semoga kalian semua berbahagia.	0
Gue dlu Lesb Gara2 nyebur di Room MIRC .. Trs Ga sengaja aaja .. Trs Kenal dan Ternyata Dunia lgbt luas Bgt .  Dr 2004-2017 gue Lesb .. Tp Kaya Ntah perasaann gue Gmn .. Soalnya Lama lama gue Anggep nya Adek Sii .. Akhirnya yaudah putus krn sama sama Jd kaya Sodara ... <br>Krn dlu gue pikir lesbi tu sama sama Cwek jd Feel Nya Soft gtu ternyata HOAX .. 😄😄 KDRT di dunia LGBT sadis bgt , 2x gue rescue Temen gue Yg fem Krn Di Gebukin smpe Bonyok di kost nya , gf dia Butch .. Butch yg laki bgt .. <br><br>Cm 2013 gue udh mulai Biseks .. Tp Cendrung feel Ke laki .. 2017 gue Total ilFil sm Dunia lesb krn semenjak Gue anggep (mau ngapain lagi si)  akhirnya mutusin Buat Jd kk adek ..pisah baik2 bgt .. ^^ <br><br>Trs gue Pacaran Sama Suami Gue skrng .. ^^ <br>Nikah usia 31 .. 3 mgg setelah akad Lgsg Hamil .. <br><br>Allah Yg Gerakin smua nya ke arah Sini ... Waktu gue lesbi Gue lbh di dorong sama Hawa nafsu n Rasa Penasaran .. Trs Jiwa Traveling gue Membara bgt ... <br><br>Maafin ya Mantan2 cewek gue yg dlu .. Kalian Smua baik .. Kita Juga Temenan naik ^° <br><br>Suamiku 😘😘😘😘 love deh	0
Menurut ku sih kita cmn harus Respect aja sama keberadaan mereka, toh mereka juga manusia benar tidaknya yang mereka lakuin  itu urusan mereka dengan Yang Kuasa✨:)	2
Kak Rachel next Cutime tentang korban ketipu beli barang sehabis liat endors artis donk wkwk 😂😂	2
Bersyukur masih bisa mikir mana yang bener mana ngga :v	0
Sebagai seorang fujo, makasih kak sudah mengangkat tema ini.. Sedikit mendengar kisah2 mereka.. Ternyata ada up &amp; down di kehidupan mereka, ya walaupun kita liat enaknya aja.	2
<a href="https://www.youtube.com/watch?v=1p80RXuWF54&amp;t=2m18s">2:18</a> emang sii klo di pondok tuh lebih rentan gitu&quot;an. Krn ga ad lawan jenis. Gua anak pondok dan ga sdikit temen gua gini&quot;. Gua kagak yee. Yakali	0
Ini cutime yg paling menyentuh hati, ngebuka mata dan pikiran kita untuk menghormati perbedaan. Love you kak Rachel💖💖	1
Kak rachel yg semangat yah bikin cutime 😂 😂 😂 aku sih kasian liat kak rachel kak rachel sampe nangis ketawa ampe nangis kezel sendiri kasian bet kak rachelll	2
terima kasih banyak sudah membuat konten tentang LGBT, aku sebagai bagian dari LGBT bener2 seneng liat kakak ini terlihat ramah banget sama curhatan2 kaum LGBT, terima kasih banyak kak.	1
Mari belajar toleransi ☺️<br><br><br>FUJOSHI ANGKAT TANGAN!!	1
Cutime dengan make up terlucu menurutku ka rach, meuni cetar eta bulu mataaa 😭😭😭	2
Setuju bgt sama ka rach, aku selalu nerapin &quot;if u cant be kind, be quiet&quot;	2
Hay kak rach 🤗 review sereal kellogg&#39;s miel pops dong terus nyanyi mipan zuzuzuuu zuzuzuuu 😂	2
Kakkk... bahas ttg bullying dan bodyshaming ke org gendut. Pleasee...<br>Ini banyak banget yg jd korbannya.<br>Thank u kak kalo mau bahas ini. Ditunggu ya.<br>Oh ya buat yg suka crita misteri<br>Mampir ya ke vlogku...	2
Sedih banget dengernya Rach, kaum LGBT bukan untuk di bully, dihina, dimaki2. Mereka butuh rangkulan, support kita ❤	1
Klo gw sih msh straight, cuman suka aja nntn drama thai yg mengandung unsur lgbt lucu aja gtu nntnnya wkwk	2
pulang kerja langsung nonton kak rachel, mandinya ntar aja 😂 .... btw aku punya sahabat (cowok) yg dulunya juga dipesantren, dia pernah ngalamin pelecehan dari seniornya sampai gak berani tidur dikamar dan milih tidur dimasjid.	2
Jadi inget kata Ten(member WayV) pas kasih pesan buat lgbt fans:<br>&quot;I want you to be yourself, love, we the same, we are the human, we are the same. So love yourself, don&#39;t try to change yourself, just be you, and that&#39;s enough. If you&#39;re happy with yourself, that&#39;s like everything. If you&#39;re happy with yourself, that&#39;s enough. Right?&quot;<br><br>Jadi Ten juga kasih support buat para lgbt fans. kata Ten kalo semisal emang itu dirimu(lesbian/gay/biseksual) dan kamu senang dengan dirimu itu, jgn diganti kalo emang itu adalah dirimu sendiri. Dikarenakan juga Ten lahir di-Thailand, dan juga org Thailand juga gak sensitif dengan pertanyaan kayak gitu tentang lgbt:D	1
Berkali-kali edisi cu-time, berkali-kalipun memberi kan pelajaran kepada saya seorang Ibu untuk bisa menjadi orangtua yang baik untuk anak-anakku. Yuuk, berubah menjadi orangtua yg baik yuuk, sulit pasti menahan ego dan emosi, tapi kita juga pasti BISA !!	2
<a href="https://www.youtube.com/watch?v=1p80RXuWF54&amp;t=3m30s">3:30</a> yups. Tapi syukurnya gue udah c&#39;out sama keluarga dan orang-orang terdekat gue dan mereka menerima. Meskipun butuh waktu yang gak sebentar. <br>Buat kalian, tetep semangat ya	1
Saran aku sih jangan membully atau menjauhi seorang LGBT karna orang LGBT juga gk mau dilahirkan seperti itu, jadi jangan menyalahkan seorang LGBT karna memang takdir dari tuhan seperti itu, SO KEEP STRONG&gt;_&lt;	1
Makasih kak telah membahas lgbt :)<br>Saya bisexual (btw aku cowo).ini membuat aku bahagia yang selama ini  aku depresi :),sekali lagi makasih kak rach :)	1
Ka Rachel next cutime tentang orang yang pernah di pelet dong,penasaran banget:(	2
Yang harus orang tau nih,<br>Jenis orientasi seksual pada umumnya ada 3,<br>Heteroseksual<br>Homoseksual<br>Biseksual<br>Yang bisa suka dua-duanya bisa punya pacar cowok kemudian juga punya pacar cewek, itu orang2 biseksual.<br>Kalau orang heteroseksual lu suruh suka ke sama jenis, jatuhnya kayak singa disuruh makan rumput.<br>Kalau orang homoseksual lu suruh suka ke lawan jenis, itu jatuhnya kuda disuruh makan daging.<br>Kalau orang biseksual, mau lu suruh ke kanan atau ke kiri, SIP OKE AJA BOS ! 😁	2
Btw gua jg prnh pesantren, dan disana emg ada aja yg main belakang, entah ke lawan jenis, entah kesesama jenis. Menurut gua hal kek gitu balik lg ke personalityny msg&quot; org, g mandang agama, usia, gender, status, kasta, atau ditempat mana dia menimba ilmu. Jgnkan soal lgbt, soal bad personality aja gmn msg&quot; org, knp gua bisa bilang gitu? Krn gua baru 2 bln mondok aja udh kena fitnah besar 2 kali.<br><br>Btw sorry, g maksud nyinggung apa&quot;. It is my opinion, it is my mindset. Hak gua berpendapat. G ngajak debat kalo ada yg tersinggung, y sorry	2
Orang yang saya kenal pernah menjadi waria dan berpacaran dg pria. Pas melihat langsung bagaimana satu-satu saudari &amp; saudaranya menghadapi ajal/maut, beliau langsung bilang &quot;Aku gamau lagi ky gini. Aku harus berubah.&quot;<br><br>Intinya takut kepada Tuhan bisa menjadi pembatas2 pergaulan dan nafsu yang kebabalasan.	0
Aku yang fujo langsung menyebarkan cuttime ini ke teman sesama fujo.. 😂	2
Kak besok cutime yang tentang &quot;BODY SHAMING&quot;	2
Jangan nasehatin gitu kak rach, semua org berhak dapet kasih syg orang tuanya, mungkin kasih syg orang tua yg lebih bisa membuat mereka berubah. Bener privacy tapi kalau masih ada hbungan ortu dan anak ya kendali ortu tetap lebih besar untuk mengarahkan anaknya jadi lebih baik	2
agak kaget sm tema cutime kali ini..<br>tp bener kata rachel meskipun gak mendukung, gak perlu jg nebar hate speech..<br>tonton ini utk pengetahuan &amp; pelajaran..👌	2
Trimakasih ka rachel sudah mau buat video ini. Trimakasih sudah mau educate subscribenya kk tentang LGBT. Banyak tokoh publik/ para influencer diluar sana yg masih banyak yg takut untuk membahas topik ini karena kita tau sendiri bahwa Indonesia adlah negra yg masih sulit untuk menerima keberadaan LGBTQ+. GUE SALUT SAMA KA RACHEL. TRIMAKASIH ♡♥	1
Teman ku bnyk yg LGBT aq tetep berteman sma mereka kok, dan fine2 aja smpek aq beranak 2 tetep sahabatan sma mereka	2
Next bahas toxic masculinity, sama toxic femininity kak, menarik kayanya..	2
Bukan bakat sih. Kalo menurut gw, lebih ke acceptance. Ketika lo ada &quot;bakat&quot; sebiji jagung, tp tinggal di indo and lo realize kalo disini sulit untuk diterima keluarga, mungkin those things bakal lo pendem sampe tuh biji melebur jadi tanah lagi dan ilang. Dan sebaliknya lahh. Silahkan dilanjut kan sendiri	2
UWAWWWW BULU MATA NYA SANGAT BHADAI SYAHRINI MENANGIS MELIHAT INI 😆👍<br><br><br><br><br><br><br>Candaa bree😄	2
Hmm.. mungkin yg mau ngejauhin temannya bukan tkt ketularan atau jadi ikutan, tapi tkt temannya itu tertarik sama teman yg straight? Cmn pendapat aku aja sih	2
menit yang soal adek buka whatsapp kakaknya entah kenapa bikin w kesel :)) kalo gaboleh minjem hp wajar sih menurutku, it&#39;s privacy.. depends on people and what case, her sis knows what she did	2
semoga banyak orang yang berfikiran terbuka,, open minded bukan berati ngikutin, setidaknya bisa menerima dansaling  menghargai T.T	2
<a href="https://www.youtube.com/watch?v=1p80RXuWF54&amp;t=17m58s">17:58</a><br>Disini membuktikan kalau LGBT menular. Dan kalau &quot;kekuasaan&quot; udah ikut campur, fakta bisa diubah. Jadi sekarang kalau ingin menilai sesuatu langsung lihat fakta lapangan.	2
Buat yang LGBT.. semangat atuh.. Indonesia itu besar, cuman sayang punya pemikiran tertutup. Menurut gw LGBT itu ga salah. Apa lagi gw suka banget sama cerita BxB.. Fujoshi klo bahasa kerennya..<br><br>Bahkan kalo liat cerita Cewek ama Cowok tuh.. Muak:)<br><br>Kata orang sih, kalo udah masuk ke dunia Fujo, nda bisa balik lagi. Tapi tenang.. Gw waras:)<br><br>Kan itu jalan hidup sendiri, ga perlu dengerin kata kata orang lain. LGBT tuh orang kuat yang selalu di hina karena latar belakangnya. <br><br>Manusia ga ada yang sempurna. Ntar yang ngatain lo kena karma ndiri elahh.. <br><br>Buat kamu yang lagi berjuang Demi itu... CEMUNGUT KAKA!!	1
Aku dulu juga di pesantren, dan emang ada kok kejadian suka sesama jenis. Biasanya salah satu pihaknya tomboy. Kayaknya emang udah jadi sisi gelap pondok pesantren	2
bener. klo mondok malah kemungkinan buat &#39;belok&#39; lebih gede. gua jg ada cerita temen gua yg hampir suka sama cewe jg. gua nyimak aja ceritanya 😂	2
not part of the LGBTQ+ but waktu smp kalo gk salah liat mv judulnya &quot;same love” (taunya dari BTS RM) dan mv itu bikin ak nangis dongg. lyricnya pun bagus banget. yang paling aku suka itu part “God loves all His children it’s somehow forgotten”, “no freedom till we&#39;re equal dam right i support it”, “a world so hateful some wold rather die than be who they are”, “whatever God you believe in we come from the same love”. buat yang masih belum bisa nerima LGBTQ+ boleh ditonton mvnya sambil dilihat liriknya. sejak saat itu ak jadi open minded dan ngerasa bersalah pernah ngeledekin orang yang LGBT, tapi ya namanya orang pasti bisa berubah lah. aku berharap indonesia bisa jadi open minded biar ndang maju negara ini. negara ini emang indah tapi sosilany masih jelek. masih menantikan saat dimana bisa bangga jadi warga indonesia. btw ka rachel req tentang toxic masculinity, toxic parent/family yaa 💋	1
semoga mereka yang bagian dr lgbt bisa diberi hidayah, dan semangat juga kaum lgbt yg ingin keluar dr lingkaran lgbt semoga kalian berhasil 💪🏻🙏🏻	0
Sekedar info aja untuk membantu bagi yang dirinya atau ada temen/keluarga yang dilema dengan seksualitasnya (termasuk hypersex), mending konsul aja ke psikiater untuk diilangin gairah seksualnya. Biasanya dikasih obat antidepresan sama obat antiandrogen, kedua itu emang punya efek menghilangkan hormon yang memunculkan berahi, jadi nanti kalian bakal jadi aseksual (gak punya gairah seksual). Well nggak ada jaminan di masa yang akan datang orientasi seksualnya bakal berubah (setelah jadi aseksual), tapi menurutku lebih baik gak punya seksualitas daripada galau hingga depresi karena lingkungan sosial. Soal biaya aku kurang tau, dan gak tau juga apa itu bisa ditanggung BPJS atau gak. Yang jelas aku hanya menyampaikan informasi saja karena banyak yang nggak tau hal ini dan sedihnya malah memaki, menyiksa, hingga membunuh baik kepada diri sendiri maupun orang lain seolah tidak ada jalan lain yang lebih baik...<br><br>Sekali lagi ya, bagi yang merasa dilema aja. Bagi yang ngerasa fine-fine aja dengan seksualitasnya saat ini ya then this is not for you...	2
Next kencan buta kak yg kenalan dari tinder dkk,pasti seru 😆	2
Makasih ka RACHEL THE BEST MEMANG sudah mewakili KAMI 🤗🌈	1
Sering² cutime kak Soal nya di Chanel KK ak cuma nontonin cutime doang:v	2
Ahhh Konten Favoritt Guee:)❤️😍	1
Oh ya kak bikin part 2 dong hehe, mungkin nanti pikiran orang perlahan lahan mulai terbuka 🙏<br><br>Sakit hati gua punya temen yg dikata-katain :(	2
Tapi ngerii ka kalau lgbt suka sama kita. Semisal dia suka sama kita, tpi kitanya enggk bgth kan risih. Kadang dari tatapan matanya beda kalau lgbt.	0
Semoga Allah mengetuk pintu hati temen2 yang lgbt atau lesbi untuk kembali ke fitrahnya masing2, aamiin	0
